Search_Query,Place_Name,Nickname,Date,Review_Content
헤이피피 협재판포점,,2E Seul,25.6.19.목,판포포구 스노쿨링 중이시라면 무조건 헤이피피!! 우도땅콩크림라떼 요고요고 스노쿨링하고 마시니까 달달구리 당충전에 카페인까지 충전되는데 제주의 맛이 느껴지니까 행복하구만요💃🕺💃🕺
헤이피피 협재판포점,,샤밤바,25.6.1.일,"판포포구 경치가 한 눈에 보이는 카페, 2년째 오고있네요"
헤이피피 협재판포점,,단비1878,25.5.26.월,사장님~ 그때 돌고래 볼수있다고 알려주셔서 신나게 자전거 달렸는데 정말 돌고래떼를 만나서 저희 엄청 신나고 행복하고 힐링되었어요 사장님 얘기 못들었으면 그냥 모르고 지나칠뻔 했는데 덕분에 좋은 구경 하고 추억 쌓아갑니다^^ 정말 감사합니다~ 또 들릴께요^^ 또 찾아뵐게요~~~
더크러스트,,RinEeeeeee,24.12.25.수,진짜 맛있었어요… 저 리조또 안좋아하는데 진짜 대박이었습니다… 남자친구는 인생 내장전복리조또라고 합니다… 라자냐는 좀 짰어요ㅠ!간이세더라구용 바게트랑 같이먹었음 딱이었을텐데ㅜㅎㅎ 손님 많이 없는데도 엄청 오래기다려서 음식나와서 기분이 안좋았는데 맛보고 다 까먹었습니다 ㅎ..
더크러스트,,커피 디저트 좋아요,24.10.29.화,주차공간 매장 넓어요. 전복라이스가 맛있어요😊
더크러스트,,heezinmam,24.10.9.수,지금까지 먹어본 파스타 중에서 젤 맛있던 곳ㅋ 인생맛집이네요! 애월서 밤에 가서 가로등도 없어서 무서웠는데 담에도 꼭 다시 방문햔거예요^^ 솔드 아웃이 많아서 나머지 중에 대충 시켰는데도 모두 기품있는 맛? 이었어요ㅋ 너무 기뷴좋겠 먹고 갑니다!
더크러스트,,투명한블루64,24.10.8.화,지난 5월 첫방문 때 괜찮았던 기억으로 다시 방문했어요. 이번에도 역시 맛있게 먹었어요. 한가지 아쉬웠던건 돈마호크는 약간 잡내가 나서 좀 그랬네요. 저번에 너무 맛있어서 추가로 시켜먹었었던거라 더 아쉽..
더크러스트,,레드쿠키,24.9.29.일,내용 없음
더크러스트,,사랑해5532,24.9.25.수,외관이 너무 근사해요~ 게우버터라이스 너무 맛있게 먹었습니다. 다른곳에서는 못 먹는 거라 또 생각날거 같네요
더크러스트,,신수가,24.9.18.수,파스타도 돈마호크도 맛있게 먹었습니다. 추석연휴라그런지 여유있게 먹고왔어요.
더크러스트,,tmd****,24.9.17.화,음식이 맛있고 인테리어도 좋았어용 주차도 좋았습니당 잘먹고가요
더크러스트,,도용금지51,24.9.15.일,특별한 분위기가 좋았어요
더크러스트,,소피7083,24.9.8.일,에피타이저로 주신 카이막 브레드 진짜 맛있었어요! 버거도 맛있고 피자도 맛있습니다^^
슈가램프,,앙겔로스37,3.21.토,숙소 바로 옆에 있어서 예약했는데 케이크 진짜 맛있어요 상자 열자마자 딸기냄새가 확~~나고 초코맛에 찐해서 맛있게 잘 먹었습니다 반 남겨서 담날 아침에 커피랑 먹었어요
슈가램프,,ke****,3.11.수,제주여행 중에 중요한 기념일이 있어서 검색해 보니 슈가램프 케이크가 딱인거 같아 멀리서 픽업하러 왔습니다! 생각보다 더더더 만족스러웠어요 데코도 너무 예쁘고 맛은 어찌나 부드러운지 촛불끄자마자 둘이서 한판 순삭해버렸네요… ㅎㅎㅎ
슈가램프,,MJ29,3.6.금,"너무 맛있는 당근케이크였어요! 심지어 위에 데코로 되어있는 당근이 손으로 깎아 만든 진짜 당근이예요~ 너무 사랑스러운 포인트♡ 심쿵♡ 위에 치즈크림도 너무 맛있고, 빵도 포슬포슬 너무 좋았습니다! 우리집안 생일 케이크는 이제 슈가램프에서만 주문해야겠어요!"
슈가램프,,닥터MIN,2.4.수,여기 케이크 진짜 다 맛있어요!
슈가램프,,굳규리,1.24.토,저희 부부가 케이크 너무 좋아해서 제주에 유명한 케이크 맛집 다 다녀봤는데 슈가램프가 가장 맛있어서 여기 정착했어요! 여기먹다 다른곳 케이크 못먹습니다!!😂
슈가램프,,Ithappens,25.9.19.금,사장님이 너무너무 친절하세요! 무엇보다 케이크도 맛있고 예뻐요. 크림을 숙성한다고 하셨는데 너무 달지 않고 과일도 많아 미니 사이즈인데도 여러명이 나눠 먹었어요. 입구 헤멜까봐 사진도 따로 보내주시고 초까지 챙겨주셔서 넘넘 감사했습니다-! 조각케익 다시 시작하면 종류별로 맛보러 방문할게요 🍰🍰🍰 번창하세요 :)
슈가램프,,GRPK,25.9.13.토,서른살 생일을 기념해서 조금 귀찮은 요청을 드렸는데 마음써주시고 정말 예쁘고 특별한 케이크를 만들어주셨어요🖤💖정말 정말 감사합니다! 덕분에 더 특별한 날이 된 것 같아요! 그리고 케이크 너무 맛있어서 친구들이 다음날도 또 생각난다구 하더라구요 블루베리비트브라우니 추천합니다!! 찾으러가는 길에 진하게 나던 로즈마리향도 친절한 사장님도 오래오래 기억에 남을 것 같습니다~ 또 놀러갈게요!
슈가램프,,Eeeejjj,25.8.23.토,친구생일을 기념으로 제주에 와서 케이크를 준비했어요! 마침 숙소 근처에 예쁜 케이크집이 있어서 예약하게 되었어용. 픽업을 하러 가게를 들어선 순간 정말 기쁘게 맞아주시는 친절한 사장님이 계셨습니다 ㅎㅎ 어떻게 해야 더 맛있는 케이크를 맛볼수 있는지 알려주셨고 알려주신대로 두가지 버전으로 먹어봤는데 둘 다 각자의 매력으로 다 맛있었어요~! 친구들이랑 예쁘고 맛있는 케이크로 제주에서의 좋은 추억 하나 더 쌓아갑니다. 사장님 항상 많이 버세요👍 상콤하고 부드럽고 꾸덕한 오렌지빅토리아케이크 강추합니다!!
슈가램프,,밥심으로살아가요,25.6.6.금,친구 생일이라 미리 예약하고 픽업갔는데 사장님이 너무 친절하셨어요❤️ 케이크도 기대 이상 너무 이뻤어요! 꼭 제주도 오셔서 기념일 챙기셔야하면 여기로 예약하세요~~
슈가램프,,truth65,24.8.10.토,맛있습니다.정말로~ ^^
디디씨치킨 신창점,,감사하자,25.10.2.목,간장 양념 둘다 맛있어서 늘 반반으로 시킨답니다
디디씨치킨 신창점,,sop****,25.7.12.토,딸 둘과 여행와서 밤에 자몽에이드와 치킨을 먹으며 재미있게 시간을 보냈다! 치킨이 맛있어요 !
