Search_Query,Place_Name,Nickname,Date,Review_Content
서리논식당,,ftt****,3.22.일,검색해서 가까운 곳으로 간 식당이였는데 너무 맛있게 잘먹고 나왔습니다. 몸국이 정말 맛있었습니다^^
서리논식당,,우리릴리,3.19.목,처음 방문했는데 주차장이 넓어서 주차하기도 편해서 좋아요 그리고 반찬 가짓수도 정말 다양하고 음식이 정말 맛있어요 사장님 손이 크신지 반찬 양들도 엄청 많네요 아이도 한그릇 그냥 미역국에 말아서 먹었어요 김치찌개랑 밥상 시켰는데 2인분 양이 아닌듯 가성비 최고의 맛집^^
서리논식당,,zzxakzz48,3.18.수,"친구들이랑 게스트하우스 가기전 드라이브 하다 발견 !!  평소 도전을 좋아하는 저는 해물뚝배기가 아닌 제주 몸국을 먹어보기로 했어요 ~~  처음보는 비주얼에 잠깐 당황했지만 , 먹어보니 완전 맛있어요 !  해물뚝배기 시킨 친구들도 맛보더니 , 몸국 하나 추가 ! 해물뚝배기도 맛있지만 다들 몸국에 정신 팔려서 몸국을 먹더라구요  돌아가는날 또 방문 예정 ! 제주 여행 시작 완전 최고 ~~~"
용수씨,,밖만치,3.31.화,"제주 서쪽 여행 중이라면 조용하게 쉬어갈 수 있는 오션뷰 감성 카페로 한경면 용수리 카페 용수씨 추천! ✨️ 오션뷰도 넘나 예쁘고, 맛, 감성, 재미까지 다 갖춘 곳이라 저는 이미 또갈집으로 확정이에요~! 갓 만들어주신 콘치즈 토스트도 짱맛탱! 1인 카페라 손님이 많으면 살짝 기다림이 필요하지만 미니 포켓볼도 치고 바다멍 때리고 있으면 금방 나와요~~~~ 😋😋"
산노루 제주,,내일부터진짜다이어트,3.20.금,"휴무일을 기다려 드디어 왔지만 디저트가 엄서서 아수웟댜,,,, 흑임자 크림 말차 라떼 꼭 드세요🍃"
산노루 제주,,앤0281,2.18.수,"말차러버라면 한번은 들러봐야 할 곳 여유로운 분위기와 깔끔하고 향긋한 말차, 호지차 너무 맛있어서 세작이랑 말차생초콜릿도 추가해서 먹었어요."
산노루 제주,,하늘바라기911,2.15.일,말차 좋아하는데 두유 옵션이 있어서 갔어요! 근데 두유대신 오트로 바뀐거 같아요 말차음료/디저트와 호지차 음료도 종류가 다양해서 좋네요 말차도 맛있고 호지라떼도 구수하고 풍미가 깊은게 맛있었어요😋
카페 온결,,vronica,4.5.일,such a cute cafe!!!!! its right by the sea so i visited by accident and it was so nice!!! you cant see the sea from the cafe but you can see the windmills and its so beautiful!!!
카페 온결,,아리보라63,4.4.토,지나가는 길에 아메리카노 먹고싶어서 들렀는데 커피도 맛있도 아몬드쿠키가 진짜 짱 맛있습니당!!!! 매장이 곳곳이 그림같이 예뻐서 더 머물고 싶은 곳이었어요! 추천👍🏻
카페 온결,,맘엔마미,3.28.토,공항가는길에 들른 커피숍. 분위기에 취해서 집에 못갈뻔했어요. 친절하게 반겨주셔서 감사합니다!
카페 온결,,뇨뇨뇨뇨니,3.26.목,해가 질랑말랑 할 때 오는 카페 온결은 언제나 옳다!! 햇빛이 촤르르 하고 들어와서 너무 따수워요!! 제 최애는 브로콜리스프🥦
카페 온결,,예리노,3.20.금,"제주도에서 조용히 힐링하고 싶다면 카페온결 추천해요 ☕️ 우드톤 인테리어가 따뜻하고 정갈해서 들어가자마자 편안한 느낌이 들었어요.  아이스커피는 깔끔하고 산미가 과하지 않아 부담 없이 마시기 좋았고, 함께 시킨 떡과 꿀 조합이 정말 잘 어울려서 간단한 디저트로 딱이었습니다. 플레이팅도 깔끔해서 사진 찍기에도 좋았어요.  전체적으로 분위기가 차분해서 혼자 시간 보내기에도 좋고, 여유롭게 쉬다 가기 좋은 공간이에요. 재방문 의사 있습니다 🙂"
카페 온결,,애월뽀로롱,3.11.수,시그니처만 주문했는데 너무 맛있어요. 매장도 넓고 아늑하고 깨끗하고 좋아요. 강추입니다.
카페 온결,,hzzz22,3.8.일,제주 서쪽에서 지내는 동안 자주가는 카페. 판포포구 근처에서 커피맛이나 분위기 생각했을 때 가장 만족스러운 곳. 요즘 꽂힌 아인슈페너와 최애 간식 초코쿠키로 당충전하며 개인 작업하기 좋았고 아인슈페너에 올라가는 크림 너무 맛있어요🤩
카페 온결,,호야6424,2.28.토,우연히 들린카페인데 너무이쁘고 사장님도 친절하세요! 다음엔 머물다갈게요^^
카페 온결,,소소한결,2.12.목,"신창해안도로 드라이브 하고 협제 가는 길에 가족, 커플이 들리기 좋은 분위기 좋은 카페입니다. 브로콜리스프랑 감자스프가 있는데요 오전에 따뜻하고 든든하게 한끼 해결할 수도 있습니다. 귤쨈도 맛있어요. 가래떡 구이도..... :)"
카페 온결,,이채연373,2.12.목,길가다가 우연히 발견한 카페인데 너무 잘 들어온 것 같아요!! 책방같은 분위기도 너무 좋고 뷰가 좋아요 통창이 꼭 갤러리에 온 것 같은 느낌을 줘요 편안한 분위기의 공간에서 여유를 느끼고 싶은 분들에게 추천해요
단당류,,J파람,3.23.월,커피가 넘 연헤요
단당류,,바람스,2.13.금,전체적으로는 밝은분위기.. 반려동물되서 그부분 만족.. 응대직원이 친절한느낌은 없음.. 음식은 정갈하게 나오지만 가격대비 만족스러운지는 의심.. 충전하기좋음.. 전체적인 분위기는 깨끗해보이지만 화장실같은 디테일한 부분의 청결상태는 미흡하다고 보여짐.. 청소도구는 적지않음.. 인근 영어교육도시에어 거주하여 집에서 멀지않은곳의 반려동물되는 카페나 식당은 한번씩 방문해보려하고 만족스러우면 자주가는 편인데 여기는 재방문의사가 ...  사람나름일것이므로 다른사람들은 만족스러울수도 있음..
단당류,,9033jisu,2.7.토,분위기가 좋은곳이네요 공간 분리도 되어있어서 그룹이 와서 이야기 나누기 좋을 것 같습니다~ 커피가 맛있는편이고 디저트가 다양해요~ 제주도 왔으니 말차 쫀득쿠키 사봅니다.
단당류,,쿄쿄쿄우와,2.7.토,"눈오는 날 단당류 브런치로 행복 추가 했답니다♡ 거게 들어서자마자 반겨쥬는 노랑노랑 따뜻한 인테리어 노란 식기류와 컵에 담겨 나오는 달콤한 수제 한귤차, 아메리카노~ 브런치로 딱이었어요♡  딱 제주도에 내가 있구나! 라는 생각이 저절로~! :) 아~행복하여라"
단당류,,조아짱20,2.4.수,제주 여행갔다가 커피도 맛있고 분위기도 좋았네요 아침 일찍 오픈하니 좋으네요
단당류,,클라우지,1.11.일,따듯하고 cozy한 분위기의 조용한 카페입니다~ 귤밭 뷰와 함께 노랑노랑한 인테리어가 더 따듯한 느낌을 주네요~ 커피도 맛있고 유자차도 맛있네요~ 브런치 메뉴들도 맛있어보여요~
당산봉식당,장소 찾기 실패,해당 없음,해당 없음,해당 없음
두모밤,,mi_****,4.1.수,혼술하기 딱 좋은 곳!! 추천이요오! 해지기전에 와서 창가자리 앉아서 먹어도 너무 좋을것같아여!
두모밤,,오조초코,3.24.화,"안주가 너무 맛있어요... 안주랑 어울리는 사케도 있고 술도 다양하고 음악도 분위기도 좌석도 혼자와도 좋은 창가자리도 있어서 최곱니다!!👍🏼👍🏼 급 혼자여행와서 숙소근처에 두모밤있어서 왔는데 운이 좋네요💕 바로 앞에 바다뷰보면서 사케에 오뎅나베먹으니까 천국... 딱새우많이 먹어봤는데 이렇게 큰애 처음봐요!! 운좋게 혼자왔다고 위스키도 멋지게 말아주셨는데,,, 초감동... 제주도 자주와야겠습니다..👍🏼💗"
두모밤,,까꿍이64,3.10.화,"비수기, 늦은시간에 모두 문닫은 제주 한림을 여행하다가 고심끝에 선택한 맛집임니다 일단 분위기가 최고에여 .. 감귤사와 가 시즌메뉴였는데 먹느라 여성분들이 진짜 조아할 맛 🩵 데이트장소로도 조을것같아여 안주하나하나가 고급짐니다 나만 알고싶지만 오래 장사하셔야데니까 여러분 드셔보새용"
두모밤,,ilo****,3.7.토,제주 서쪽 한경면 바닷가 마을에 있는 감성 술집 두모밤! 분위기가 정말 좋고 음악도 좋아서 제주 밤을 즐기기 딱 좋은 곳이예요🩵  즉석떡볶이는 생각보다 매콤해서 맥주랑 잘 어울렸고 테이블에서 끓여 먹는 스타일이라 술안주로 최고였어용 ㅎㅎ
두모밤,,chl****,2.26.목,부부동반 모임의 마지막 밤을 여기서 보내게되어 정말 좋네요 ㅎㅎㅎ 다음에도 방문하겠습니다.
